"ID","Order","Ring","RingTitle","Step","Gate","Focus","SourceBasis","Trigger","PassCondition","FailCondition","Evidence","Next","Status"
"CS-GR-040","40","R03","Source Custody And Root Drops","06","Source Provenance Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","evidence or concept is imported","source, activity, actor/tool, evidence, and derived decision are visible. Ring clean result: raw source is preserved before extraction.","a concept is used with no custody trail or how-found chain","source index, provenance passport, hash, citation, transcript path","Attention Salience Gate","candidate support gate; not active doctrine"
"CS-GR-041","41","R03","Source Custody And Root Drops","07","Attention Salience Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","too many signals compete","active focus and blocked side routes are visible. Ring clean result: raw source is preserved before extraction.","everything remains equally loud and the route drifts","active target, side-route list, load state, user correction","Relation Edge Gate","candidate support gate; not active doctrine"
"CS-GR-042","42","R03","Source Custody And Root Drops","08","Relation Edge Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","two items seem connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return. Ring clean result: raw source is preserved before extraction.","similarity is mistaken for relationship","relation table, graph note, source map, issue map","Risk Dirty-Milk Gate","candidate support gate; not active doctrine"
"CS-GR-043","43","R03","Source Custody And Root Drops","09","Risk Dirty-Milk Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","motion could carry bad material forward","dirty conditions, risk severity, and quarantine path are named. Ring clean result: raw source is preserved before extraction.","dirty milk is carried because it looks useful","risk note, dirty-tree status, security watch, conflict signal","Substrate Tool Gate","candidate support gate; not active doctrine"
"CS-GR-044","44","R03","Source Custody And Root Drops","10","Substrate Tool Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a tool or method is chosen","tool matches phenomenon: shell for file truth, source ledger for research, map for relations, test for behavior. Ring clean result: raw source is preserved before extraction.","a bigger or flashier tool substitutes for the right substrate","command output, source ledger, test result, map, receipt","Action Exit Gate","candidate support gate; not active doctrine"
"CS-GR-045","45","R03","Source Custody And Root Drops","11","Action Exit Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","the ring is about to move","allowed exits close by proof, not explanation. Ring clean result: raw source is preserved before extraction.","the system exits by sounding resolved","named action, proof closure, blocked narration exit","Proof Evidence Gate","candidate support gate; not active doctrine"
"CS-GR-046","46","R03","Source Custody And Root Drops","12","Proof Evidence Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a claim needs trust","claim touches visible evidence. Ring clean result: raw source is preserved before extraction.","PASS is claimed from confidence, tone, or authority","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; not active doctrine"
"CS-GR-047","47","R03","Source Custody And Root Drops","13","Variation Stability Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a gate seems good","small wording, file order, or context changes do not break the route. Ring clean result: raw source is preserved before extraction.","the gate only works in the exact wording that inspired it","counterexample, perturbation check, repeated run, disproof condition","Consolidation Fit Gate","candidate support gate; not active doctrine"
"CS-GR-048","48","R03","Source Custody And Root Drops","14","Consolidation Fit Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","overlap appears","KEEP SEPARATE, MOVE LOGIC, PACK TOGETHER, PARK, REJECT, or WATCH AGAIN is chosen with reason. Ring clean result: raw source is preserved before extraction.","overlap becomes a broad merge or another loose gate pile","three-signal check, overlap note, risk if merged, risk if separate","Affected Scope Gate","candidate support gate; not active doctrine"
"CS-GR-049","49","R03","Source Custody And Root Drops","15","Affected Scope Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a new gate changes neighboring work","affected files, lanes, receipts, maps, and next tasks are statused. Ring clean result: raw source is preserved before extraction.","a clean-looking gate leaves stale neighbors","affected-area map, partner sync, no-blind-move check","Verdict Status Gate","candidate support gate; not active doctrine"
"CS-GR-050","50","R03","Source Custody And Root Drops","16","Verdict Status Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, PROMOTED, or RETIRED matches evidence. Ring clean result: raw source is preserved before extraction.","status words exaggerate the proof","verdict line, proof burden, open guardrail","Return Closure Gate","candidate support gate; not active doctrine"
"CS-GR-051","51","R03","Source Custody And Root Drops","17","Return Closure Gate","loose drops, source ore, transcripts, and custody","root-drop receipts, source dispositions, mhm, ET0o9zL3BDs, synthesis drops","the ring needs to close","next state circles back to the active target and names release or return trigger. Ring clean result: raw source is preserved before extraction.","the ring leaves active weight, no close condition, or no next move","receipt, closeout, issue-status footer, next anchor","next ring or clean stop","candidate support gate; not active doctrine"
"CS-GR-052","52","R04","File Truth And Hash Path","01","Trigger Recognition Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a signal enters this ring","the signal is named before action. Ring clean result: claims touch actual file state.","the ring starts from mood, speed, or vague pressure","user request, file path, source note, command output, or prior receipt","Authority Scope Gate","candidate support gate; not active doctrine"
"CS-GR-053","53","R04","File Truth And Hash Path","02","Authority Scope Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","the ring might touch rules, files, or status","authority, allowed touch, and blocked touch are named. Ring clean result: claims touch actual file state.","source ore, chat, or support notes become boss by proximity","ACTIVE_ANCHOR, active guide boundary, user request, AGENTS boundary","Object Identity Gate","candidate support gate; not active doctrine"
"CS-GR-054","54","R04","File Truth And Hash Path","03","Object Identity Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","an item must be judged","object type and status are named. Ring clean result: claims touch actual file state.","the item is handled before anyone knows whether it is source, proof, rule, TODO, receipt, or gate","file role, folder, status line, source disposition, receipt","Placement Home Gate","candidate support gate; not active doctrine"
"CS-GR-055","55","R04","File Truth And Hash Path","04","Placement Home Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","the object needs a house lane","home lane is named before save, merge, park, or close. Ring clean result: claims touch actual file state.","a mystery file, loose note, or floating gate remains","path, lane role, manifest, source custody, parking lane","Word Key Gate","candidate support gate; not active doctrine"
"CS-GR-056","56","R04","File Truth And Hash Path","05","Word Key Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","wording can route behavior","behavior-controlling words point to exact object, action, proof, verdict, or next state. Ring clean result: claims touch actual file state.","labels sound clean but open the wrong door","term list, title, verdict word, route word, status word","Source Provenance Gate","candidate support gate; not active doctrine"
"CS-GR-057","57","R04","File Truth And Hash Path","06","Source Provenance Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","evidence or concept is imported","source, activity, actor/tool, evidence, and derived decision are visible. Ring clean result: claims touch actual file state.","a concept is used with no custody trail or how-found chain","source index, provenance passport, hash, citation, transcript path","Attention Salience Gate","candidate support gate; not active doctrine"
"CS-GR-058","58","R04","File Truth And Hash Path","07","Attention Salience Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","too many signals compete","active focus and blocked side routes are visible. Ring clean result: claims touch actual file state.","everything remains equally loud and the route drifts","active target, side-route list, load state, user correction","Relation Edge Gate","candidate support gate; not active doctrine"
"CS-GR-059","59","R04","File Truth And Hash Path","08","Relation Edge Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","two items seem connected","edge type is named: source, proof, parent, child, neighbor, blocker, promotion, return. Ring clean result: claims touch actual file state.","similarity is mistaken for relationship","relation table, graph note, source map, issue map","Risk Dirty-Milk Gate","candidate support gate; not active doctrine"
"CS-GR-060","60","R04","File Truth And Hash Path","09","Risk Dirty-Milk Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","motion could carry bad material forward","dirty conditions, risk severity, and quarantine path are named. Ring clean result: claims touch actual file state.","dirty milk is carried because it looks useful","risk note, dirty-tree status, security watch, conflict signal","Substrate Tool Gate","candidate support gate; not active doctrine"
"CS-GR-061","61","R04","File Truth And Hash Path","10","Substrate Tool Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a tool or method is chosen","tool matches phenomenon: shell for file truth, source ledger for research, map for relations, test for behavior. Ring clean result: claims touch actual file state.","a bigger or flashier tool substitutes for the right substrate","command output, source ledger, test result, map, receipt","Action Exit Gate","candidate support gate; not active doctrine"
"CS-GR-062","62","R04","File Truth And Hash Path","11","Action Exit Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","the ring is about to move","allowed exits close by proof, not explanation. Ring clean result: claims touch actual file state.","the system exits by sounding resolved","named action, proof closure, blocked narration exit","Proof Evidence Gate","candidate support gate; not active doctrine"
"CS-GR-063","63","R04","File Truth And Hash Path","12","Proof Evidence Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a claim needs trust","claim touches visible evidence. Ring clean result: claims touch actual file state.","PASS is claimed from confidence, tone, or authority","hash, path, line, test, citation, root listing, status output","Variation Stability Gate","candidate support gate; not active doctrine"
"CS-GR-064","64","R04","File Truth And Hash Path","13","Variation Stability Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a gate seems good","small wording, file order, or context changes do not break the route. Ring clean result: claims touch actual file state.","the gate only works in the exact wording that inspired it","counterexample, perturbation check, repeated run, disproof condition","Consolidation Fit Gate","candidate support gate; not active doctrine"
"CS-GR-065","65","R04","File Truth And Hash Path","14","Consolidation Fit Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","overlap appears","KEEP SEPARATE, MOVE LOGIC, PACK TOGETHER, PARK, REJECT, or WATCH AGAIN is chosen with reason. Ring clean result: claims touch actual file state.","overlap becomes a broad merge or another loose gate pile","three-signal check, overlap note, risk if merged, risk if separate","Affected Scope Gate","candidate support gate; not active doctrine"
"CS-GR-066","66","R04","File Truth And Hash Path","15","Affected Scope Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a new gate changes neighboring work","affected files, lanes, receipts, maps, and next tasks are statused. Ring clean result: claims touch actual file state.","a clean-looking gate leaves stale neighbors","affected-area map, partner sync, no-blind-move check","Verdict Status Gate","candidate support gate; not active doctrine"
"CS-GR-067","67","R04","File Truth And Hash Path","16","Verdict Status Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","a judgment is needed","PASS, PASS WITH GUARDRAILS, PARTIAL, FAIL, INVALID, YIELD, BLOCKED, PARKED, PROMOTED, or RETIRED matches evidence. Ring clean result: claims touch actual file state.","status words exaggerate the proof","verdict line, proof burden, open guardrail","Return Closure Gate","candidate support gate; not active doctrine"
"CS-GR-068","68","R04","File Truth And Hash Path","17","Return Closure Gate","paths, hashes, root checks, and file truth","PowerShell hash checks, root listings, source custody receipts","the ring needs to close","next state circles back to the active target and names release or return trigger. Ring clean result: claims touch actual file state.","the ring leaves active weight, no close condition, or no next move","receipt, closeout, issue-status footer, next anchor","next ring or clean stop","candidate support gate; not active doctrine"
"CS-GR-069","69","R05","Object Identity And Status","01","Trigger Recognition Gate","file, note, gate, proof, TODO, rule, source, receipt, or artifact identity","synthesis papers, issue maps, guide file roles","a signal enters this ring","the signal is named before action. Ring clean result: each object has type, lane, and status.","the ring starts from mood, speed, or vague pressure","user request, file path, source note, command output, or prior receipt","Authority Scope Gate","candidate support gate; not active doctrine"
"CS-GR-070","70","R05","Object Identity And Status","02","Authority Scope Gate","file, note, gate, proof, TODO, rule, source, receipt, or artifact identity","synthesis papers, issue maps, guide file roles","the ring might touch rules, files, or status","authority, allowed touch, and blocked touch are named. Ring clean result: each object has type, lane, and status.","source ore, chat, or support notes become boss by proximity","ACTIVE_ANCHOR, active guide boundary, user request, AGENTS boundary","Object Identity Gate","candidate support gate; not active doctrine"
"CS-GR-071","71","R05","Object Identity And Status","03","Object Identity Gate","file, note, gate, proof, TODO, rule, source, receipt, or artifact identity","synthesis papers, issue maps, guide file roles","an item must be judged","object type and status are named. Ring clean result: each object has type, lane, and status.","the item is handled before anyone knows whether it is source, proof, rule, TODO, receipt, or gate","file role, folder, status line, source disposition, receipt","Placement Home Gate","candidate support gate; not active doctrine"
