SourcePath,Bytes,Extension,SHA256,SourceType,Disposition,ProofNeed,ReturnTrigger
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260601\SOURCE_LEDGER.md,2119,.md,921AEE5EA2AD92C43B76933DC471F4E12E0986D0718870A20BDA47D9E91B5664,source ledger,park with source packet,source citations not web-verified in this pass,when source verification opens
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\00_COMBO_METHOD_LAB_INDEX.md,1608,.md,4836D6D8690B33CF5E027AE4BB937E0DB1EFEA5804FDAE88FB5FC630299BFB23,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\11_C11_POKA_YOKE_FILE_EDGE_GATE_COMBO.md,1988,.md,79D9FE83579569108E30DAE2A633C493EBD20E274552F7CE93859707B7960D8F,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\12_C12_BOWTIE_BARRIER_STOPLINE_COMBO.md,1958,.md,01A19AA034C94FABE7676CDA879BDA2ABAA36DC566F7B9B450F680993E8AF390,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\13_C13_8D_FRACAS_SCAR_LEDGER_COMBO.md,1896,.md,8FA213BB49E2112440181495247039D635CB079A7A10748BB5C5D6359E42D918,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\14_C14_FMEA_PROOF_FIXTURE_COMBO.md,1817,.md,0FADCAE0E808A975421368E5E9DB947A80D50E1BE986D5D4F39952733CCA4B29,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\15_C15_PDSA_SMALL_PROOF_EXPERIMENT_COMBO.md,1607,.md,F96FF11B03FB652BCBADEC95D62EFF01477117685C810B2DC56A0C7F526A016E,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\16_C16_SAFETY_II_SUCCESS_PATH_CONTRAST_COMBO.md,1908,.md,2A200DF292BB5D18A36F2D5BFC1F82FC36D20B566E39EEAFEC8A6C6555B20329,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\17_C17_CYNEFIN_DOMAIN_ROUTING_COMBO.md,1615,.md,27E0657D2E1B9434B398E1CC3B9999D4DDBFF99540AF30D549BC0A0EE8CE8A1C,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\18_C18_DOUBLE_LOOP_LEARNING_OBJECTIVE_REWRITE_COMBO.md,1740,.md,F1FAF59E735027390040639FB7DE9390A5DC88739C4D96D7B9AFD96B7619EE17,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\19_C19_BOUNDARY_OBJECT_HANDOFF_TRANSLATION_COMBO.md,1854,.md,DE997E50E40235F2A1CDB2B3530EB53F80E8027E45601E8AA3321954D9F174FB,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\20_C20_INFORMATION_FORAGING_SCENT_TRAIL_COMBO.md,1893,.md,2A8878E6F781BBDA796B187F3C12025B8B73BB4F429452C25E76FABAC8942599,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\COMBO_METHOD_RUN_LEDGER.csv,4108,.csv,2E32D783D9F0C6D48F960119397FEEC126B5E81C1BB007FBB1EE4B1B546DC225,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\MANIFEST_SHA256.md,1839,.md,65168761A8AC4EB6BE22CA5534EA7A5D2248B92652369F12F4394A62109AAC24,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\METHOD_YIELD_RANKING.md,997,.md,466C920A3F112DD62294EA0ABA5F674F92BCCAE083629961B6876D6B4BFC305D,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\NEXT_SYNTHESIS_CARD.md,1479,.md,3AA8FCD5199CEF523D3DCEAF67B3C41A08B10E0D52191E3337CD76EAF458B65F,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_COMBO_SEARCH_METHOD_LAB_20260602\SOURCE_LEDGER.md,2119,.md,921AEE5EA2AD92C43B76933DC471F4E12E0986D0718870A20BDA47D9E91B5664,sequence-looking duplicate content,keep separate no double injection,hash/manifest proof already shows same content,when user confirms sequence meaning
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\00_OPERATOR_METHOD_LAB_INDEX.md,1593,.md,0E7814E0DAE377DFDDC3360AD8FEBB6D2594844569A7D8D53A7D7050DF42204B,candidate support,indexed and mined,source packet status boundary,when reading operator methods
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\MANIFEST_SHA256.md,1949,.md,A66E06F43D417134B675FD900E98877C30D86DFD0EFBB39FC569D8B24A1FA3B8,manifest,indexed and parked,manifest is map not proof,when verifying source packet identity
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\METHOD_YIELD_RANKING.md,991,.md,E8770A781104522D36D02A526748C48DF650CC17CA29782BCAEDD3C3AB832286,ranking,inject as candidate support,ranking is first-yield only,when choosing adversarial/verification methods
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\NEXT_SYNTHESIS_CARD.md,1351,.md,431CAB777BC8C102E15C4A650DC97ED12507EE5E4CD0EEA9DF07BB0F430CB585,synthesis,inject as candidate support,rule/fixture must be built before enforcement,when building operator synthesis
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O21_ADVERSARIAL_THREAT_MODEL_BAD_CROSSING_HUNT.md,1963,.md,ECE98701FBE81C585568AE1D9F4352076C20C1384BDCBA53D19A1D636A74A3A6,candidate support,inject as candidate support,threats must become checks/fixtures,when bad crossings are possible
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O22_HAZOP_GUIDEWORD_HOUSE_WORD_KEY_DEVIATION_WALK.md,1711,.md,E1688F6D4FD2C519C11C032E36800AD9AE49F0F60AA0955D2D70FB46E2A12EEF,candidate support,inject as candidate support,focus deviations on actual route,when word/route drift is suspected
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O23_INVARIANT_TEMPORAL_GATE_MODEL.md,1639,.md,10707BE4EC2B58058143F572D88F8E291F89D74B20EDE0770376D70ADEF38D60,candidate support,inject as candidate support,state table before enforcement,when movement legality matters
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O24_PROPERTY_BASED_FIXTURE_GENERATOR.md,1540,.md,2A47685C700AF2F437D3AFCDE586528095FD00E46AD76A8CDAFFDA42954B840C,candidate support,inject as candidate support,implementation/review before proof,when fixture expansion opens
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O25_MUTATION_TEST_THE_GATE.md,1505,.md,AC2FD59941BC3191B06756C3FB1B71A52C23E025CE3BC20791B6834F35D7B4B3,candidate support,inject as candidate support,manual mutation checklist before runner,when test quality is reviewed
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O26_CONTROLLED_FAILURE_DRILL_CHAOS_GATE.md,1675,.md,9B080413F4B61AA504896951D676ED6D8915AFC231B6FC26A9A492F7946E4D4C,candidate support,park with return trigger,fixture-room-only drill boundary,when controlled drill lane opens
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O27_SUPPLY_CHAIN_ATTESTATION_RECEIPT_INTEGRITY.md,1652,.md,D4FA6B3ADE67F34AB1C8C62DC8E8A618CA62D8579CA9CE88B29BE9B5D488CA2D,candidate support,inject as candidate support,shape not full SLSA/in-toto proof,when helper/mule custody matters
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O28_OBSERVABILITY_TRACE_ROUTELEDGERMAP.md,1648,.md,59CB1274006D7A0AE35F043203AD2AFC88027C3D436A06209CF298118B138DD4,candidate support,inject as candidate support,bounded trace fields needed,when route reconstruction matters
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O29_SLO_ERROR_BUDGET_FOR_HELPER_RELIABILITY.md,1708,.md,8EC47F092D96ACFDD7DAA0CCC839723A6988D079D0151F78E8C37E9C9A21E988,candidate support,park with return trigger,repeated lane data needed before governor,when helper reliability repeats
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\O30_VERIFICATION_READINESS_REVIEW_FLIGHT_RULE.md,1753,.md,B260EEE038B108C9DCBE58E992944721A00BA25E25F12B1433735ADB57860F8C,candidate support,inject as candidate support,scale to risk before formal use,when save/close no-go is needed
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\OPERATOR_FIXTURE_IDEAS.md,1117,.md,B4AB2FFBDBE129128DB5441501D8B121127399EA6A99786414483AA684B9103C,fixture idea,park with return trigger,fixture set not built yet,when lower-cause fixture set task opens
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\OPERATOR_METHOD_RUN_LEDGER.csv,3159,.csv,66EF5EE60836B501A49AFE199687A9E00371368C4EE05B25CA590B7ACCC91A8E,source ledger,indexed and parked,csv parse/use if future table work opens,when comparing operator methods
LOWER_CAUSE_OPERATOR_CHOICE_METHOD_LAB_20260601\SOURCE_LEDGER.md,1815,.md,3025C1DC4495126ADB398702AC0BCA38FC4E61474C22D41015D16FC1D6A88284,source ledger,park with source packet,source citations not web-verified in this pass,when source verification opens
RAW_WORK\2ndThoughtRealSRCH.txt,9122,.txt,0A09BC5F622E37988802E9AE86604B1F817EA9DCABECD065593EFB8DC60ECD96,raw work,mined and parked,raw chat is not authority,when reconstructing method search
RAW_WORK\3rdRunAREweSURE.txt,7139,.txt,48A83A1AA4E1A005CAAB77A0FE3ECC061E412B3E3C2A67CD15D63D96D133CA0A,raw work,mined and parked,raw chat is not authority,when checking corrected live/rule-build top 10
RAW_WORK\First top 10.txt,6595,.txt,0951B6772C5D007CEBDE66310B2AA995A1C8A7CA81055781A205F500AF8F7EA8,raw work,mined and parked,raw chat is not authority,when reconstructing initial ranking
RAW_WORK\FirstThoughtNoSearch.txt,11902,.txt,DDB7BA0C91CE380FD12F8C21E5ABA24F0F86A3E8BF1B159301749D6A1575DDA3,raw work,mined and parked,raw chat is not authority,when checking no-search baseline
RAW_WORK\RAW_CARD_COLLECTION.txt,793040,.txt,321517F306CC16C30D122E887FA646E2A1606A8A854536B5E6548C78821F904D,raw work,mined into method selector/card intake,raw chat is not authority,when expanding method selector/card deck
