"ConceptId","Theme","UseHorizon","SignalText","SignalCount","SourceFileCount","SampleSources"
"CONCEPT-02015","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Child target status","125","125","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.2_20260527_192613_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193549_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193946_SAVE_POWERSHELL_CODE_GATE_RULE_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194114_SAVE_POWERSHELL_CODE_GATE_RULE_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194250_CHECK_POWERSHELL_CODE_GATE_POST_SAVE_V1.0.ps1.md"
"CONCEPT-16305","TOOLS_HARNESS_RUNNERS","NEXT_WORK","# PowerShell Code Gate Runner Report V1.3","124","124","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193549_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_193946_SAVE_POWERSHELL_CODE_GATE_RULE_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194114_SAVE_POWERSHELL_CODE_GATE_RULE_V1.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194250_CHECK_POWERSHELL_CODE_GATE_POST_SAVE_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194918_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.1.ps1.md"
"CONCEPT-03789","TOOLS_HARNESS_RUNNERS","NEXT_WORK","## Target output","124","124","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191642_POWERSHELL_CODE_GATE_TEST_LADDER_V1.0.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191644_READ_ONLY_REPORT_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191646_FALSE_PASS_FIXTURE.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_191647_CHECK_MISC_DRAWER_POST_SAVE_V1.3.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.1_20260527_192337_POWERSHELL_CODE_GATE_TEST_LADDER_V1.1.ps1.md"
"CONCEPT-32729","HOUSE_ROUTING_ROOMS","NEXT_WORK","## Boundary","107","107","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__USER_SAID_FIRST_CROSSCHECK_HOUSE_ROPE_SUIT_CARD_V1.md; _CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/SOURCE_DROP_COPY__USER_SAID_FIRST_CROSSCHECK_HOUSE_ROPE_SOURCE_CROSSCHECK_V1.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/CODING_ROOM_CLOSEOUT_PACKET_UNIQUE_20260531_0510_20260531_050138/CODING_ROOM_CLOSEOUT_PACKET_UNIQUE_20260531_0510_20260531_050138.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/CODING_ROOM_HIGH_RISK_HELPER_TRIAGE_WAVE_01_V1_UNIQUE_20260531_1130_20260531_073020/CODING_ROOM_HIGH_RISK_HELPER_TRIAGE_WAVE_01_V1_UNIQUE_20260531_1130_REPORT.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/CODING_ROOM_HIGH_RISK_HELPER_TRIAGE_WAVE_01_V1_UNIQUE_20260531_1130_20260531_073026/CODING_ROOM_HIGH_RISK_HELPER_TRIAGE_WAVE_01_V1_UNIQUE_20260531_1130_REPORT.md"
"CONCEPT-31105","AUTHORITY_BOUNDARY","NEXT_WORK","## Boundary","59","59","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__EXPOSURE_TRIGGERS_POWERPLAY_CRIME_SCENE_RULE_V1.md; _CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/SOURCE_DROP_COPY__SWIFT_SCAN_SOURCE_FIT_AND_GAP_FILL_REPORT_V1.md; _MISC_DRAWER/READ_REPORTS/BATCH_SCALE_STEP_READINESS_AUDIT_V1_20260530_055449.md; _MISC_DRAWER/READ_REPORTS/BATCH_SCALE_STEP_READINESS_AUDIT_V1_20260530_055458.md; _MISC_DRAWER/READ_REPORTS/CANDIDATE_SELECTION_GATE_TRIAL_20260530_045628.md"
"CONCEPT-27449","TOOLS_HARNESS_RUNNERS","NEXT_WORK","function Add-Line {","55","55","_TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/APPLY_CURRENT_CENTER_FRESHNESS_LABEL_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/AUDIT_CODE_GATE_RULING_QUALITY_AND_RULE_EXPANSION_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/CHECK_LOCAL_CODE_WORKBENCH_ENGINE_SLOT_LAYER_V0.1 (1).ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/CHECK_LOCAL_CODE_WORKBENCH_ENGINE_SLOT_LAYER_V0.1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1"
"CONCEPT-28610","TOOLS_HARNESS_RUNNERS","NEXT_WORK","### Return array wrapper","51","51","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194918_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195059_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195206_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195357_CHECK_LOCAL_CODE_WORKBENCH_POST_SETUP_V0.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195640_CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1.md"
"CONCEPT-07866","TOOLS_HARNESS_RUNNERS","NEXT_WORK","Reason: This pattern previously caused type/shape trouble. Prefer deliberate output handling.","51","51","_MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_194918_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195059_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195206_RUN_LOCAL_CODE_WORKBENCH_GATE_REVIEW_V0.2.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195357_CHECK_LOCAL_CODE_WORKBENCH_POST_SETUP_V0.1.ps1.md; _MISC_DRAWER/READ_REPORTS/POWERSHELL_CODE_GATE_RUNNER_REPORT_V1.3_20260527_195640_CHECK_LOCAL_CODE_WORKBENCH_FLOW_LAYER_V0.1.ps1.md"
"CONCEPT-07125","HELPER_GROWTH","NEXT_WORK","Boundary: LOCAL_ONLY / NO_GIT / NO_DELETE / NO_MOVE / NO_NETWORK / NO_BROAD_CRAWL","48","48","_LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/CRAWL_INDEX.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/EVENTS/WORK_EVENT_0001.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/FINAL_PACKET.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/INCIDENTS/CENTRAL_INCIDENT_RECORD.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/MAPS/WORK_PART_DRIVER_MAP.md"
"CONCEPT-13264","KEY_LEDGER_MAP_REGISTRY","NEXT_WORK","## Boundary","40","40","_CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__MAX10_BATCH_SCALE_STEP_AUDIT_LEDGER_V1.md; _CHAT_DROPS/ROOT_CLEANOUT_DROP_COPY_20260530_200513/CHAT_DROP_COPY__MAX8_BATCH_SCALE_STEP_AUDIT_LEDGER_V1.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/AIRLOCK_JUDGE_REPORT_CLAIM_GHOST_LEDGER_WRITER_RETRO_TARGET_UNIQUE_20260531_0449_20260531_044657.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/OLD_VERSION_RETIREMENT_LEDGER_V1_UNIQUE_20260531_0528_20260531_051642/CODING_ROOM_OLD_VERSION_RETIREMENT_LEDGER_V1_UNIQUE_20260531_0528_20260531_051642.md; _MISC_DRAWER/READ_REPORTS/CODING_ROOM/TOOL_REGISTRY_V1_UNIQUE_20260531_0520_20260531_051506/CODING_ROOM_TOOL_REGISTRY_V1_UNIQUE_20260531_0520_20260531_051506.md"
"CONCEPT-10517","PROOF_CUSTODY","NEXT_WORK","function Sha256 {","36","36","_TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/APPLY_CURRENT_CENTER_FRESHNESS_LABEL_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_CURRENT_CHAIN_CLOSE_HOLD_CHECK_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_DEAD_CHAT_SHED_TINY_PROOF_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_FRESHNESS_DECAY_LABELS_TINY_PROOF_V1.ps1; _TOOLS_AND_SCRIPTS/SAVE_SCRIPTS/ROOT_CLEANOUT_SCRIPTS_20260530_200709/LOCK_SAVE_FRESHNESS_LABELS_USE_NEXT_ROUTE_SELECTION_V1.ps1"
"CONCEPT-01932","GENERAL_IDEA","NEXT_WORK","## Purpose","32","32","_MISC_DRAWER/READ_REPORTS/BATCH_SCALE_STEP_READINESS_AUDIT_V1_20260530_055449.md; _MISC_DRAWER/READ_REPORTS/BATCH_SCALE_STEP_READINESS_AUDIT_V1_20260530_055458.md; _MISC_DRAWER/READ_REPORTS/DREAMFORGE_SUNO_SOURCE_PROBE_20260529_175347/DREAMFORGE_SUNO_SOURCE_PROBE_REPORT_20260529_175347.md; _MISC_DRAWER/READ_REPORTS/FILE_THINKING_LANE_TRIAL_001_20260529_163210/CLUSTER_CARDS_LOCAL/FILE_THINKING_LANE_TRIAL_001_CLUSTER_CARD.md; _MISC_DRAWER/READ_REPORTS/FILE_THINKING_LANE_TRIAL_001_20260529_163210/REVIEW_LOCAL/REVIEW_20260529_164034/FILE_THINKING_LANE_TRIAL_001_REVIEW_REPORT_20260529_164034.md"
"CONCEPT-03624","HELPER_GROWTH","NEXT_WORK","## Crawl Contract","32","32","_LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/CRAWL_INDEX.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/EVENTS/WORK_EVENT_0001.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/FINAL_PACKET.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/INCIDENTS/CENTRAL_INCIDENT_RECORD.md; _LOCAL_CUSTODY_AND_RECEIPTS/COMMAND_CENTER/ROOT_COMMAND_CENTER_20260530/HELPER_GROWTH_REPORTS/TRACE_20260530_010842__KEY_2E6F99ED9EFE__FIRST_LIVE_USE_HELPER_GROWTH_FLIGHT_RECORDER/MAPS/WORK_PART_DRIVER_MAP.md"
