source_file,line_span,lane,source_signal_summary,source_excerpt_short,house_use,risk_boundary
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,213-231,object_meta_distinction,Object level and meta level are distinguished; meta level can direct object-level behavior.,direct it beneficially uh so Nelson and erens in 1990 distinguished between object level and meta level object level meta level now it refers to some physical state or at least mental processes being directed external to us like if you're typing or you're d...,Use as task/object versus process/meta split.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,273-279,working_memory,Meta-knowledge enters working memory and becomes conscious access.,these meta representations inside of us here we go meta knowledge moving into to working memory here's your conscious state in that rectangle I have sound effects today want to hear that again you super excited okay so this metan knowledge,Use as mechanism for control move selection.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,838-907,feeling_of_knowing,Feelings of knowing/unknowing are automatic and speak with pseudo-truth.,that makes sense conceptually driven it's a little slower which is why our feelings of knowing and unknowing are automatic knowledge takes time to be retrieved from our declarative memory we have things we've been taught since birth or through some sort of ...,"Use to mark confidence as signal, not proof.",candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,1040-1046,meta_knowledge_as_therapy_model,Meta-knowledge is described as helping people understand and direct mental processes.,therapeutic processes are doing what I'm doing now they start to give you Concepts meta knowledge to help you understand and direct your mental processes so you're not in the shadows of your own mind anymore you build mental,Park clinical aspect; keep structural mechanism only.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,1220-1226,impermanence_signal,Thoughts/feelings can tell you they are permanent when they are not.,pass arise and pass feelings be aware of the momentto moment experience of their impermanence that they're not permanent but they tell you they're permanent so when you're going through a negative emotion notice the subtle voice saying I'm permanent no no t...,"Use as analogy for fog/urgency feeling, not as medical claim.",candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,1300-1306,proceduralized_meta,Metacognitive procedural knowledge can interact with thoughts automatically.,thoughts they don't just hijack me all the time that's right you've built metacognitive procedural knowledge that is now interacting with your thoughts automatically that's helping you so it helps you modify your thinking processes change your beliefs control,Use for Soft Suit training model.,candidate only
Metacognition 2 The Value of Meta-knowledge_2026-05-27_15-19-13.txt,1383-1389,automaticity_warning,Automaticity is named as something society and individuals must get over.,skillful lift yourself up past unhappiness creating automaticity and your happiness in life happiness of society Happ of civilization largely depends around getting over the mind's automaticity automaticity for violence,Use carefully: not anti-automaticity; anti-runaway wrong automaticity.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,27-33,daily_monitoring,Monitoring thoughts/attention starts from waking and can include trained awareness.,is that uh during a ring a bell to anybody you're always focusing your attention you're always monitoring your thoughts from the moment you wake up even asleep you can have lucid dreaming where you're suddenly aware of the fact that you're,Use as source for constant state awareness.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,132-138,working_memory_process,Meta-knowledge in working memory can control attention and life direction.,now state of the system but now and now is constantly refreshing in your working memory uh and so if you uh learn some some some technique for engaging with your mind such as increasing your attention and increasing your intentional control what I just,Use as mechanism link.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,204-256,automaticity_child_model,System-one automaticity seeks positives/avoids negatives and can become runaway.,more like a child you're feeling curious things good things and it's driving automaticity automatic procedural knowledge comes up and just ballistically fires like bullets just automatically the kid isn't really aware of what they're doing they're just you ...,Use to diagnose repeated assistant/tool failures as automaticity.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,571-577,catastrophizing,Metacognition can be duped into treating an impermanent stimulus as world-ending.,where some minor thing in your life can become catastrophized uh yeah because metacognition is being duped into thinking that whatever negative emotion you're feeling isn't just a small impermanent a stimulus it's actually this,"Use as analogy for urgency/fog escalation, not clinical advice.",candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,942-983,equanimity_impermanence,Awareness of impermanence can interrupt automatic reaction in the lecture model.,awareness find awareness that sees the impermanence of an experience called Equanimity there's a little signal there we'll just sort of use that as a shortcut by maintaining Equanimity this awareness of the impermanence it stops the automaticity and then yo...,Use as structural analogy: close observation interrupts runaway reaction.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,1054-1060,metacognitive_sensitivity,Metacognitive sensitivity and equanimity are linked to release of old reactions.,old emotions come up stay for a while if you maintain High metacognitive sensitivity and Equanimity they'll pass away old negative motions then come up from your emotional Storehouse stay for a while,Park clinical claims; keep observation-before-reaction pattern.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,1149-1155,false_permanence_to_correct_impermanence,Meta-instructions can turn false perception of permanence into perception of impermanence.,instructions and meta instructions enter working memory be aware of the impermanence of your experience focus in on it it turns the false perception of permanence into a,Use for 'inspect signal before treating it as state truth'.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,1255-1310,proceduralization,"Skill learning: repeated practice becomes faster, automatic, and less error-prone.",they become automatic and efficient fast and less error prone okay so that's called proceduralization and so emotional intelligence as well so the three stages of skill learning what no matter what it is in terms of this model of get some Posner being decla...,Use directly for Soft Suit proof standard.,candidate only
Metacognition explained (part 3)_2026-05-27_15-19-41.txt,1349-1355,expert_procedure,Proceduralization eventually skips declarative instructions; the cue triggers procedure.,into working memory and then brings procedural knowledge up and acts it out during proceduralization yeah you have the knowledge but it starts to skip it just gets associated with the queue your body's in the car you don't need the knowledge anymore you,Use to explain why clean rules must become practiced behavior.,candidate only
