"ID","Order","Ring","Phase","Lens","RingTitle","Step","Gate","Focus","SourceBasis","Trigger","PassCondition","FailCondition","Evidence","Next","Status"
"CS-EGR-0011","11","R001","Front Control","Keystone","Order Gate And Sequence Proof","11","Recursion Before Expansion Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","more gates are born","each new gate has return target, stop condition, and neighbor check. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","growth has no return path","candidate birth schema, return field","Soft Birth Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0012","12","R001","Front Control","Keystone","Order Gate And Sequence Proof","12","Soft Birth Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","the system needs a gate generator","gate birth room produces parked candidates only. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","birth room becomes a hidden active rule factory","GATE_BIRTH_ROOM_SOFT_20260524.md","Enoughness Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0013","13","R001","Front Control","Keystone","Order Gate And Sequence Proof","13","Enoughness Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","the user asks whether more gates are needed","the ring asks evidence of missing failure modes instead of guessing best. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","the assistant decides from taste alone","coverage matrix, source stack, missing-failure check","Neighbor Damage Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0014","14","R001","Front Control","Keystone","Order Gate And Sequence Proof","14","Neighbor Damage Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","a gate is placed near existing gates","affected neighbors are listed before placement is considered clean. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","new gates break old lanes silently","affected scope and neighbor list","End Consolidator Reservation Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0015","15","R001","Front Control","Keystone","Order Gate And Sequence Proof","15","End Consolidator Reservation Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","consolidator is required","CONSOLIDATOR is reserved for the final ring and locked no-run. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","consolidator appears early or acts as king gate","R200, locked status, no-run receipt","Receipt Continuity Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0016","16","R001","Front Control","Keystone","Order Gate And Sequence Proof","16","Receipt Continuity Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","the expanded ring closes","old baseline hash, new artifact hashes, count proof, and status are visible. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","the big move has no rollback trail","pre-expansion manifest, post-expansion hash manifest","Return To Target Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0017","17","R001","Front Control","Keystone","Order Gate And Sequence Proof","17","Return To Target Gate","true clean order for every gate before count, excitement, or consolidation","user request, prior 510 ring, order proof, ACTIVE_ANCHOR","ORDER ring completes","the next ring starts at reduction lock and no-run control. Ring clean result: ORDER is first and every later gate inherits the no-run sequence","ORDER becomes an endless planning loop","next pointer, R002 route","R002 Reduction Lock And No-Run Control","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0018","18","R002","Front Control","Keystone","Reduction Lock And No-Run Control","01","No-Run Master Lock Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","any generated gate could be mistaken for an active run","candidate status is visible in every row and receipt. Ring clean result: generation and verification are allowed; gate execution is not","generation is confused with execution","Status column, receipt, order proof","Reducer Isolation Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0019","19","R002","Front Control","Keystone","Reduction Lock And No-Run Control","02","Reducer Isolation Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a gate can reduce, compress, consolidate, delete, retire, or promote","reduction-capable gates are isolated behind explicit approval. Ring clean result: generation and verification are allowed; gate execution is not","a reducer runs because it exists","locked status, R200 end placement, no-run wording","Consolidator Sleep Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0020","20","R002","Front Control","Keystone","Reduction Lock And No-Run Control","03","Consolidator Sleep Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","CONSOLIDATOR is present","CONSOLIDATOR stays asleep and can only be inspected as candidate text. Ring clean result: generation and verification are allowed; gate execution is not","CONSOLIDATOR packs gates during birth","R200 status, receipt no-run line","Compression Sleep Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0021","21","R002","Front Control","Keystone","Reduction Lock And No-Run Control","04","Compression Sleep Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","compression language appears","compression is treated as future action, not current action. Ring clean result: generation and verification are allowed; gate execution is not","fresh gates are condensed before review","lock note, no output reduction","Promotion Sleep Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0022","22","R002","Front Control","Keystone","Reduction Lock And No-Run Control","05","Promotion Sleep Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a gate looks strong","promotion requires separate proof and user approval. Ring clean result: generation and verification are allowed; gate execution is not","candidate support becomes active doctrine","ACTIVE_ANCHOR, status header, git diff","Deletion Sleep Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0023","23","R002","Front Control","Keystone","Reduction Lock And No-Run Control","06","Deletion Sleep Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","duplicate or weak gates appear","nothing is deleted by this pass. Ring clean result: generation and verification are allowed; gate execution is not","weakness causes silent deletion","receipt, git status, no delete note","Move Sleep Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0024","24","R002","Front Control","Keystone","Reduction Lock And No-Run Control","07","Move Sleep Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a gate seems misplaced","misplacement is reported, not moved into active guides. Ring clean result: generation and verification are allowed; gate execution is not","support artifact rewrites active lanes","path list, no active-guide edit","Run Intent Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0025","25","R002","Front Control","Keystone","Reduction Lock And No-Run Control","08","Run Intent Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a command or script is executed","script generation and verification are separated from gate execution. Ring clean result: generation and verification are allowed; gate execution is not","verification is mistaken for running gates","command purpose, receipt wording","Inspection Only Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0026","26","R002","Front Control","Keystone","Reduction Lock And No-Run Control","09","Inspection Only Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","rows are opened, counted, or hashed","inspection is allowed and produces proof only. Ring clean result: generation and verification are allowed; gate execution is not","inspection mutates gate verdicts","row count, hash output, grep checks","No Verdict Eating Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0027","27","R002","Front Control","Keystone","Reduction Lock And No-Run Control","10","No Verdict Eating Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a later gate could override earlier status","no gate changes another gate status during this build. Ring clean result: generation and verification are allowed; gate execution is not","the ring self-judges and self-edits","static CSV, generator script, no run ledger","Manual Run Requirement Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0028","28","R002","Front Control","Keystone","Reduction Lock And No-Run Control","11","Manual Run Requirement Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","someone wants to apply the ring to a target later","target, runner, reducer locks, and approval must be named first. Ring clean result: generation and verification are allowed; gate execution is not","future run starts from this build receipt alone","future run checklist","Rollback Anchor Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0029","29","R002","Front Control","Keystone","Reduction Lock And No-Run Control","12","Rollback Anchor Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","the move is large","baseline hash manifest remains unchanged and referenced. Ring clean result: generation and verification are allowed; gate execution is not","rollback anchor is lost","PRE_EXPANSION_HASH_MANIFEST, baseline folder","Fresh Gate Quarantine Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0030","30","R002","Front Control","Keystone","Reduction Lock And No-Run Control","13","Fresh Gate Quarantine Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","new gates are born","fresh gates stay candidate until proof pass. Ring clean result: generation and verification are allowed; gate execution is not","birth equals adoption","candidate status, gate birth room","No Hidden Active State Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0031","31","R002","Front Control","Keystone","Reduction Lock And No-Run Control","14","No Hidden Active State Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","the artifact is useful","no hidden daemon, automation, hook, or active rewrite is created. Ring clean result: generation and verification are allowed; gate execution is not","candidate files create hidden behavior","file list, git status, script contents","User Talk Stop Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0032","32","R002","Front Control","Keystone","Reduction Lock And No-Run Control","15","User Talk Stop Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","a serious decision is needed","work stops for discussion before active use, reduction, or promotion. Ring clean result: generation and verification are allowed; gate execution is not","assistant decides the serious move alone","receipt next action, final note","Hash After Build Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0033","33","R002","Front Control","Keystone","Reduction Lock And No-Run Control","16","Hash After Build Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","new files are generated","new hashes are computed after all generated artifacts exist. Ring clean result: generation and verification are allowed; gate execution is not","large move closes without integrity proof","post-expansion hash manifest","No-Run Receipt Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0034","34","R002","Front Control","Keystone","Reduction Lock And No-Run Control","17","No-Run Receipt Gate","all reducer, compressor, promotion, deletion, move, and consolidator behavior locked off","user request not to run gates and not let consolidator eat gates","no-run ring closes","receipt says no gates were run and reducers stayed locked. Ring clean result: generation and verification are allowed; gate execution is not","the no-run boundary is implicit","receipt line, status column","R003 Recursion Spine And Return Control","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0035","35","R003","Front Control","Keystone","Recursion Spine And Return Control","01","Recursive Object Continuity Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","output loops back into the system","same object or explicitly transformed object is named before recursion. Ring clean result: recursion expands only with return and stop behavior","recursion changes object without notice","object field, transform note","Recursive Authority Continuity Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0036","36","R003","Front Control","Keystone","Recursion Spine And Return Control","02","Recursive Authority Continuity Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","a later spin inherits earlier material","authority does not grow just because recursion repeats. Ring clean result: recursion expands only with return and stop behavior","repetition becomes authority","status header, support-only line","Recursive Source Continuity Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0037","37","R003","Front Control","Keystone","Recursion Spine And Return Control","03","Recursive Source Continuity Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","a later spin uses earlier source","source trail remains attached. Ring clean result: recursion expands only with return and stop behavior","source disappears after first extraction","source ledger, provenance path","Recursive Attention Reset Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0038","38","R003","Front Control","Keystone","Recursion Spine And Return Control","04","Recursive Attention Reset Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","the next spin starts","active focus is reset and side routes are re-declared. Ring clean result: recursion expands only with return and stop behavior","old salience drifts into new spin","next target, blocked side routes","Recursive Exit Recheck Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0039","39","R003","Front Control","Keystone","Recursion Spine And Return Control","05","Recursive Exit Recheck Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","old exits are reused","exits are checked again for proof closure. Ring clean result: recursion expands only with return and stop behavior","old false exit remains open","exit list, proof closure line","Recursive Proof Refresh Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0040","40","R003","Front Control","Keystone","Recursion Spine And Return Control","06","Recursive Proof Refresh Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","a prior proof is reused","proof is either still valid or marked stale. Ring clean result: recursion expands only with return and stop behavior","stale proof is treated as fresh","hash, status output, citation date, transcript path","Recursive Variation Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0041","41","R003","Front Control","Keystone","Recursion Spine And Return Control","07","Recursive Variation Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","the gate repeats under a new condition","variation is recorded and does not break invariant. Ring clean result: recursion expands only with return and stop behavior","the loop only works once","variation note, invariant line","Recursive Drift Detector Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0042","42","R003","Front Control","Keystone","Recursion Spine And Return Control","08","Recursive Drift Detector Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","iteration changes wording or placement","drift is named before it accumulates. Ring clean result: recursion expands only with return and stop behavior","tiny drift compounds silently","diff, wording check, neighbor list","Recursive Birth Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0043","43","R003","Front Control","Keystone","Recursion Spine And Return Control","09","Recursive Birth Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","recursion exposes a missing gate","new gate enters soft birth room with parent and reason. Ring clean result: recursion expands only with return and stop behavior","missing gate becomes active instantly","birth room record, parent gate ID","Recursive Saturation Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0044","44","R003","Front Control","Keystone","Recursion Spine And Return Control","10","Recursive Saturation Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","more gates might still be possible","more-gate search asks for missing failure modes and missing source signals. Ring clean result: recursion expands only with return and stop behavior","growth continues from anxiety alone","coverage check, missing-failure log","Recursive Stop Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0045","45","R003","Front Control","Keystone","Recursion Spine And Return Control","11","Recursive Stop Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","a serious decision is reached","the system stops and asks before active use, promotion, or reduction. Ring clean result: recursion expands only with return and stop behavior","the loop outruns decision need","decision note, blocked next action","Recursive Neighbor Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0046","46","R003","Front Control","Keystone","Recursion Spine And Return Control","12","Recursive Neighbor Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","new loop touches old gate","neighbor fit is checked before claiming clean placement. Ring clean result: recursion expands only with return and stop behavior","recursive output damages ring ecology","neighbor list, affected scope","Recursive Condense Lock Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0047","47","R003","Front Control","Keystone","Recursion Spine And Return Control","13","Recursive Condense Lock Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","recursion creates overlap","overlap is parked until final locked consolidator review. Ring clean result: recursion expands only with return and stop behavior","condense fires during generation","R200 lock, no-run status","Recursive Receipt Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0048","48","R003","Front Control","Keystone","Recursion Spine And Return Control","14","Recursive Receipt Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","the recursive pass closes","receipt captures what was born, parked, blocked, and left for talk. Ring clean result: recursion expands only with return and stop behavior","loop closes with no trail","receipt, hash manifest, next action","Recursive Return Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0049","49","R003","Front Control","Keystone","Recursion Spine And Return Control","15","Recursive Return Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","the ring closes","next target is R004 soft gate birth interface. Ring clean result: recursion expands only with return and stop behavior","recursion loops into itself without an exit","next pointer","R004 Soft Gate Birth Room Interface","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0050","50","R003","Front Control","Keystone","Recursion Spine And Return Control","16","Recursive Evidence Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","recursive confidence rises","more loops still need visible evidence. Ring clean result: recursion expands only with return and stop behavior","repeat count substitutes for proof","proof ledger, source trail","Recursive Human Boundary Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0051","51","R003","Front Control","Keystone","Recursion Spine And Return Control","17","Recursive Human Boundary Gate","recursive loop, return target, stop condition, and drift detection","recursive core architecture, cycle law, clean seed return rules","human-behavior concepts appear","concepts translate to systems only and avoid manipulation instructions. Ring clean result: recursion expands only with return and stop behavior","recursive logic becomes human influence script","dirty import block, systems-only line","R004 Soft Gate Birth Room Interface","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0052","52","R004","Front Control","Keystone","Soft Gate Birth Room Interface","01","Soft Gate Birth Door Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","a missing gate is noticed","birth room accepts only soft candidate requests. Ring clean result: birth produces parked candidates, never active doctrine","birth room installs gates directly","soft-room status, candidate schema","Spark Capture Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0053","53","R004","Front Control","Keystone","Soft Gate Birth Room Interface","02","Spark Capture Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","a source, failure, or pattern sparks a new gate","spark is captured with source and reason. Ring clean result: birth produces parked candidates, never active doctrine","new gate starts as a name only","spark field, source field","Need Claim Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0054","54","R004","Front Control","Keystone","Soft Gate Birth Room Interface","03","Need Claim Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","a gate is proposed","the failure mode it prevents is named. Ring clean result: birth produces parked candidates, never active doctrine","gate exists because it sounds good","need claim, failure mode","Object Target Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0055","55","R004","Front Control","Keystone","Soft Gate Birth Room Interface","04","Object Target Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate needs a target","target object class is named. Ring clean result: birth produces parked candidates, never active doctrine","gate has no target and cannot fire cleanly","target object field","Trigger Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0056","56","R004","Front Control","Keystone","Soft Gate Birth Room Interface","05","Trigger Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate needs a trigger","trigger is observable and bounded. Ring clean result: birth produces parked candidates, never active doctrine","trigger is vague mood language","trigger field","Pass Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0057","57","R004","Front Control","Keystone","Soft Gate Birth Room Interface","06","Pass Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate needs a pass condition","pass condition is testable or evidence-bound. Ring clean result: birth produces parked candidates, never active doctrine","pass condition is a feeling of correctness","pass field","Fail Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0058","58","R004","Front Control","Keystone","Soft Gate Birth Room Interface","07","Fail Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate needs a fail condition","fail condition names the actual bad route. Ring clean result: birth produces parked candidates, never active doctrine","fail condition is only generic badness","fail field","Evidence Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0059","59","R004","Front Control","Keystone","Soft Gate Birth Room Interface","08","Evidence Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate needs proof","evidence type is named before promotion. Ring clean result: birth produces parked candidates, never active doctrine","gate cannot prove itself","evidence field","Dirty Import Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0060","60","R004","Front Control","Keystone","Soft Gate Birth Room Interface","09","Dirty Import Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate gate imports external concepts","dirty, coercive, mystical, or unsupported uses are blocked. Ring clean result: birth produces parked candidates, never active doctrine","source concept arrives unfiltered","blocked-use field","Neighbor Slot Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0061","61","R004","Front Control","Keystone","Soft Gate Birth Room Interface","10","Neighbor Slot Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate needs placement","likely neighbors and order slot are named. Ring clean result: birth produces parked candidates, never active doctrine","gate is thrown into the ring by excitement","neighbor field, order slot","Recursion Fit Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0062","62","R004","Front Control","Keystone","Soft Gate Birth Room Interface","11","Recursion Fit Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate may recur","return target and stop condition are named. Ring clean result: birth produces parked candidates, never active doctrine","gate creates infinite active pressure","return field, stop field","Reduction Lock Draft Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
"CS-EGR-0063","63","R004","Front Control","Keystone","Soft Gate Birth Room Interface","12","Reduction Lock Draft Gate","side room that births soft candidate gates without installing or running them","user request for gate birthing room and Chase/Feynman/hypnosis logic","candidate can reduce or consolidate","reduction behavior is locked unless explicitly approved. Ring clean result: birth produces parked candidates, never active doctrine","candidate consumes other gates","reduction lock field","Candidate ID Gate","candidate support gate; NO-RUN; reduction-locked; not active doctrine"
