"ReviewPriority","SourceKind","Path","FieldOrClass","Message","PathClass","ReviewDisposition","RepairType","SHA256"
"4","ROOT_LAYER","COMMAND_CENTER/TODO/TODO_GATE_EVIDENCE_HOW_FOUND_NEXT_USE_20260524_043525.md","MISSING_DISPOSITION_REVIEW","Issue-like artifact lacks obvious disposition or return trigger.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","F00344EF463192BDED43365F940788782610013EABB5255DBB87D31FAEE5EC9F"
"4","ROOT_LAYER","COMMAND_CENTER/TODO/TODO_NEW_ISSUES_TRUE_SEAM_NEXT_USE_20260524_001305.md","MISSING_DISPOSITION_REVIEW","Issue-like artifact lacks obvious disposition or return trigger.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","9CC3917DE83C66DE7100A38A1FD2BA0DDA46CB90CC9FFF070CDBBD74F9867FAE"
"4","ROOT_LAYER","COMMAND_CENTER/TODO/TODO_SCOPED_PATH_HOME_SIGN_REPAIR_20260524.md","MISSING_DISPOSITION_REVIEW","Issue-like artifact lacks obvious disposition or return trigger.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","83AACA0797DAD191031475CCFAB9F33E7A9A2E1B3DB7520D74DC9F114013B50F"
"4","ROOT_LAYER","HOUSE_WORK/TODO/FRONT_GATE_PACKET_PLANNER_V0_READ_ONLY_NEXT_USE_TODO_20260529.md","MISSING_DISPOSITION_REVIEW","Issue-like artifact lacks obvious disposition or return trigger.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","619295599E601E3D135E49724BA0AE2ACE9F4B2FFD37A20DF01461FB94B3A48D"
"4","ROOT_LAYER","HOUSE_WORK/TODO/RULE_QUALITY_WORDING_COVERAGE_REPAIR_TODO_20260522_050634.md","MISSING_DISPOSITION_REVIEW","Issue-like artifact lacks obvious disposition or return trigger.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","EF220B7A8A90722DA48221C0F54704F7E5054FC74FD69CDB9CD5222ABF7888E0"
"0","INTAKE","BRAIN_LEARNING/ASSISTANT_DOOR_RELAY_LOCAL_MANUAL_INTAKE_RULE_20260521_132918.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","F79E55835491E21E63D3D6217C704A98A7DA5147E6E283884697E76E5F290AC0"
"0","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"0","INTAKE","BRAIN_LEARNING/THINK_BEFORE_WORK_INTAKE_ALARM_GATE_20260518.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","948B94832346CA389C69C7F21F36F10D4C8D91961A6AD599892910E55D5AC773"
"0","INTAKE","COMMAND_CENTER/CURRENT_CONTEXT_CART/YOU_GOT_MAIL__ROOT_DROP_INTAKE_AND_NERVE_SIGNAL_WASH_20260524_092335.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","FEFDFFD8988FBD525D1454B0274555D3294153899C84F0FFB0D33C19FA07A596"
"0","INTAKE","HOUSE_WORK/CHAT_COCKPIT/INTAKE_GATE_SYSTEM_SUIT_CARD_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","4FC639F522EFE8B9D45868E9AD43832BFF1B57FD04A6D030F0E27D0C1D4608A2"
"0","INTAKE","HOUSE_WORK/CHAT_COCKPIT/LIVING_INTAKE_PROTOCOL_STACK_SOFT_SUIT_CARD_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","D7BDF150FE157F8AFFACFF7257EA31DF87DFE57C2F613180B557EBE57792F57B"
"0","INTAKE","HOUSE_WORK/CHAT_COCKPIT/ORGANIC_PATHING_SOFT_SUIT_CARD_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","3042AFADDBEFB017E5440997B4D74C644900CE7643F798F8A750ACC209B347B6"
"0","INTAKE","HOUSE_WORK/TODO/INTAKE_GATE_PATH_ECOLOGY_DEEP_DIVE_TODO_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","2227D0BDB6EC26B1D5BA63F3277F47297660F8DAE35CAC91DA7C9C760E8354C9"
"0","INTAKE","HOUSE_WORK/TODO/LIVING_INTAKE_PROTOCOL_STACK_THREE_BITE_TEST_TODO_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","934FF2F210618B27D9E0BE6EC4F1C6CEAF367D8E6617D5C0B62297B268CA47FD"
"0","INTAKE","HOUSE_WORK/TODO/SOURCE_TO_HOUSE_INTAKE_V2_MECHANISM_EXTRACTION_TODO_20260528.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","071EBC138E10109AA4D618539A19FA53AF288910E9CB044698F377AE41EA0849"
"0","INTAKE","HOUSE_WORK/WORK_SHED/INDEXES/INTAKE_GATE_SYSTEM_GATE_STACK_MAP_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","337283924583025E6D1BE8969D242CDD8FDFD0809C03F540F2E1F051D806C570"
"0","INTAKE","HOUSE_WORK/WORK_SHED/INDEXES/LIVING_OBJECT_REGISTRY_V2_FIRST_WAVE_REPAIR_ROUTE_INDEX_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","A8F6DE2A415D02FF6D13C53474360B6873ED33536344071E897A995B46CE6FF9"
"0","INTAKE","HOUSE_WORK/WORK_SHED/INDEXES/ORGANIC_PATHING_KEY_LEDGER_MAP_JOIN_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","E583B3655F4C7B49AA6D041ADEBC616C5AD964EE2EE84C6DFCE2C97088E91F2B"
"0","INTAKE","HOUSE_WORK/WORK_SHED/SORTING_BENCH/INTAKE_GATE_PATH_ECOLOGY_PRE_DIVE_CAPTURE_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","D72BB5E8A06AFC92FE458E33C479A2F9AC7CBC8EDE04C313F7105A0B85F7D1AD"
"0","INTAKE","HOUSE_WORK/WORK_SHED/SORTING_BENCH/LIVING_OBJECT_REGISTRY_V2_FIRST_WAVE_BOUNDED_REPAIR_REPORT_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","0FB561845F54A7CD1B20069125DFEF88F6D7277714483A474D929E1FF9199D99"
"0","INTAKE","HOUSE_WORK/WORK_SHED/SORTING_BENCH/ORGANIC_PATHING_SOFT_SUIT_DEEPENED_FIT_REPORT_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","433914E9675ACEF105C82ED209B420EA355AC98F768401A9A10595DB90B5A62A"
"0","INTAKE","HOUSE_WORK/WORK_SHED/TEMPLATES/INTAKE_PROTOCOL_STACK_CARD_V1_20260530.md","Hash","Missing obvious hash/fixity/manifest marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E94B0C9F736F4C38CD914FC8ABBB784F25DE0A8ACA39C1D71ED8E250643F0BC7"
"1","INTAKE","BRAIN_LEARNING/ASSISTANT_DOOR_RELAY_LOCAL_MANUAL_INTAKE_RULE_20260521_132918.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","F79E55835491E21E63D3D6217C704A98A7DA5147E6E283884697E76E5F290AC0"
"1","INTAKE","BRAIN_LEARNING/ASSISTANT_DOOR_RELAY_LOCAL_MANUAL_INTAKE_RULE_20260521_132918.md","Return","Missing obvious return/next condition.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","F79E55835491E21E63D3D6217C704A98A7DA5147E6E283884697E76E5F290AC0"
"1","INTAKE","BRAIN_LEARNING/CHUCK_NORRIS_PRESSURE_TEST_SOURCE_TO_HOUSE_INTAKE_V2_GUARDRAIL_20260528.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","735717C7C8E3F3D9F23BF5775D5668E4057CA0904AAFAD80B269A1CA8DBD9082"
"1","INTAKE","BRAIN_LEARNING/INTAKE_GATE_SYSTEM_CONCEPT_CARD_V1_20260530.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","EBA6EB83E2D2FF7429F04B1B5C890B2F1CCAB2463A96571685E989346BF3C725"
"1","INTAKE","BRAIN_LEARNING/INTAKE_KEY_CODE_WORKING_RULES_CONDENSED_20260530.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","FC50E2F9C276F52A8C4AE642A76E4331C8F1C4CCCBF7824F323130E86E0DB0CC"
"1","INTAKE","BRAIN_LEARNING/KEY_HASH_WORK_IDENTITY_LEDGER_MAP_NAMING_RULE_20260530.md","Return","Missing obvious return/next condition.","route/path issue","confirmed next 50 repair candidates","ROUTE_PATH_REPAIR","DCFD783E4E3DA07B47CF4BEE73CE61ACA381F5CF2E2234E9A2854BBD5E858EB0"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","Boundary","Missing obvious boundary/not-doctrine marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","CurrentnessDisposition","Missing obvious currentness/disposition marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","HashToReceiptPurpose","Hash/proof relationship may lack receipt/purpose/exclusion language.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","Return","Missing obvious return/next condition.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PINK_PONY_DINER_DENSE_RANT_INTAKE_RULE_20260519.md","RouteLedgerMap","Missing obvious route/ledger/map/relation marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","E5C118D055F2744988884EA79C8C77B14F5EC9D5EEC803C9D31C4E5D66D37B92"
"1","INTAKE","BRAIN_LEARNING/PORCH_DROP_EVENT_TRIGGER_AND_PACKAGE_INTAKE_RULE_20260522.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","C83708DC247DF7DB8A6F748F496901A104856D7D3AEF5B25C03A5357AF894B3C"
"1","INTAKE","BRAIN_LEARNING/PORCH_DROP_EVENT_TRIGGER_AND_PACKAGE_INTAKE_RULE_20260522.md","Return","Missing obvious return/next condition.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","C83708DC247DF7DB8A6F748F496901A104856D7D3AEF5B25C03A5357AF894B3C"
"1","INTAKE","BRAIN_LEARNING/ROOT_DROP_HASH_KEY_INTAKE_RULE_20260530.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","618A44CE6E1611B6FA4CD9B8B75F5B81A7C1FB5D95F2A16649F6753FA8DF3A7E"
"1","INTAKE","BRAIN_LEARNING/ROOT_DROP_ZONE_IMMEDIATE_INTAKE_RULE_20260524.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","162BEB0943894AFFC87007B5D85C3B0770D08A4FD9468D2C336F4D7BE8C98BDF"
"1","INTAKE","BRAIN_LEARNING/SOURCE_TO_HOUSE_INTAKE_V2_COMPARISON_LAYER_ADDENDUM_20260528.md","HashToReceiptPurpose","Hash/proof relationship may lack receipt/purpose/exclusion language.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","46DC34DD5350A6C55AF655650D30905E90D7292DEB93993E4E27DA42229BCDDA"
"1","INTAKE","BRAIN_LEARNING/SOURCE_TO_HOUSE_INTAKE_V2_COMPARISON_LAYER_ADDENDUM_20260528.md","Keying","Missing obvious controlled key/tag/WorkKey marker.","key/hash/intake issue","confirmed next 50 repair candidates","INTAKE_GATE_KEY_HASH_GUARD","46DC34DD5350A6C55AF655650D30905E90D7292DEB93993E4E27DA42229BCDDA"
