"row_id","source_term","source_line","source_class","source_risk","mapped_evidence","disposition_label","support_status","authority_boundary","proof_pointer","next_condition","return_trigger","rationale"
"UA-011","LOCK","186","REPORT_OUTPUT_STRING","REPORT_ONLY","""BlockedPowers"",","ADAPT_BEFORE_USE","SAFE_AFTER_REPORT_ONLY_ADAPTATION","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L186","Before reuse, rewrite or frame as report-only wording so it cannot read as final authority.","Return when wording is moved into active docs, UI, helper instructions, or guide text.","The mapped row can support review, but the term 'LOCK' is authority-shaped and needs report-only wording before it travels."
"UA-012","DoesNotProve","188","REPORT_OUTPUT_STRING","REPORT_ONLY","""DoesNotProve"",","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L188","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-013","StopLine","189","REPORT_OUTPUT_STRING","REPORT_ONLY","""StopLine"",","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L189","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-014","FAIL","193","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","if ($Failures.Count -eq 0 -and (Test-Path $PointerPath -PathType Leaf)) {","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L193","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-015","SHA256","197","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$PointerSha256 = (Get-FileHash $PointerPath -Algorithm SHA256).Hash","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L197","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-016","LOCK","208","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$CardType = ""POINTER_READ_BLOCKED_CARD""","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L208","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-017","LOCK","212","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-BlockerStatus ""BLOCKING"" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L212","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-018","LOCK","217","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-WhatItAffects ""It blocks active task inspection from pointer state."" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L217","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-019","FAIL","222","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","} elseif ($Failures.Count -eq 0) {","ADOPT_AS_SUPPORT","SAFE_SUPPORT_ONLY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L222","May cite as support only with this source-table pointer and no run/pass/save claim.","Return if the row is cited outside the disposition packet.","The mapped row is usable as bounded support because it points to guard wording, proof metadata, or a no-mutation/report-only condition; it is not a run/pass/save proof."
"UA-020","LOCK","227","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-BlockerStatus ""WATCH"" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L227","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-021","LOCK","248","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$CardType = ""POINTER_READ_BLOCKED_CARD""","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L248","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-022","LOCK","252","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-BlockerStatus ""BLOCKING"" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L252","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-023","LOCK","257","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-WhatItAffects ""It blocks trustworthy active task inspection."" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L257","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-024","SAVED","265","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","""SAVED_AND_CLOSED"" { $CardType = ""INSPECT_ACTIVE_TASK_CARD"" }","BLOCK_AS_AUTHORITY","BLOCKED_FROM_AUTHORITY","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L265","Do not install as authority; use only as evidence of a wording/control risk.","Return only for a deliberate authority-boundary rewrite, not for promotion.","The mapped row must not become authority because 'SAVED' or UNKNOWN_AUTHORITY_CONTEXT can falsely read as final verdict, pass, or saved state."
"UA-025","LOCK","267","REPORT_OUTPUT_STRING","REPORT_ONLY","""BLOCKED_LOWER_ISSUE"" { $CardType = ""INSPECT_ACTIVE_TASK_CARD"" }","ADAPT_BEFORE_USE","SAFE_AFTER_REPORT_ONLY_ADAPTATION","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L267","Before reuse, rewrite or frame as report-only wording so it cannot read as final authority.","Return when wording is moved into active docs, UI, helper instructions, or guide text.","The mapped row can support review, but the term 'LOCK' is authority-shaped and needs report-only wording before it travels."
"UA-026","LOCK","272","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$CardType = ""POINTER_READ_BLOCKED_CARD""","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L272","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-027","LOCK","276","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-BlockerStatus ""UNKNOWN"" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L276","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-028","LOCK","281","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","-WhatItAffects ""It blocks authoritative active task inspection."" `","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L281","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-029","LOCK","290","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$BlockingWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""BLOCKING"" })","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L290","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-030","LOCK","291","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$NonBlockingWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""NON_BLOCKING"" })","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L291","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-031","LOCK","292","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$WatchWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""WATCH"" })","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L292","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-032","LOCK","293","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$UnknownWarnings = @($WarningObjects | Where-Object { $_.BlockerStatus -eq ""UNKNOWN"" })","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L293","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-033","FAIL","295","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$NextLegalAction = if ($Failures.Count -gt 0) {","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L295","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
"UA-034","FAIL","296","REPORT_OUTPUT_STRING","REPORT_ONLY","""STOP_AND_REPAIR_BASE_FAILURES""","ADAPT_BEFORE_USE","SAFE_AFTER_REPORT_ONLY_ADAPTATION","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L296","Before reuse, rewrite or frame as report-only wording so it cannot read as final authority.","Return when wording is moved into active docs, UI, helper instructions, or guide text.","The mapped row can support review, but the term 'FAIL' is authority-shaped and needs report-only wording before it travels."
"UA-035","LOCK","297","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","} elseif ($UnknownWarnings.Count -gt 0 -or $BlockingWarnings.Count -gt 0) {","PROOF_NEEDED","PROOF_NEEDED_BEFORE_USE","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L297","Require owner/proof/key/boundary/return path before use beyond static support.","Return when a proof artifact is supplied or this field is proposed for active use.","The mapped row sits in unknown-authority context; use beyond support needs owner, proof, key, boundary, and return path."
"UA-036","COMPLETE","302","UNKNOWN_AUTHORITY_CONTEXT","WATCH_REVIEW","""INSPECTION_COMPLETE_NO_ACTION_TAKEN""","PARK_WITH_RETURN_TRIGGER","PARKED_MATERIAL","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L302","Return only when owner, proof, key, boundary, and return path are requested for this field.","Return when pointer-state ownership or completion provenance becomes the active object.","The mapped row describes pointer/completion/second-review material that should stay parked until its owner and return path are explicit."
"UA-037","COMPLETE","312","VARIABLE_ASSIGNMENT_OR_CALCULATION","VARIABLE_OR_REPORT_CONTROL","$LastCompletedStep = Get-PropertyValue -Object $PointerObject -Name ""LastCompletedStep""","LEAVE_BE","NO_ACTION_INTERNAL_MECHANIC","Not active authority; does not prove run, pass, saved state, permission, or helper correctness.","HOUSE_WORK\IDEA_CONCEPT_COLLECTION_ROOM\HELPER_STRESS_BENCH_ROW_001_STATIC_CODE_SHAPE_AND_FIXTURE_CARD_20260603\ROW_001_AUTHORITY_LANGUAGE_SURFACE_ADJUDICATION_TABLE_20260603.csv#L312","Leave in source context; no extraction or authority promotion.","No return unless the source helper itself is reviewed.","The mapped row is an internal variable/control mechanic; leave it in source context and do not extract authority from it."
